Age,Annual_Income,Employment_Years,Monthly_Debt,Debt_to_Income,Credit_Utilization,Late_Payments,Credit_History_Years,Credit_Accounts,Loan_Amount,Previous_Defaults,Payment_History_Score,Home_Ownership,Marital_Status,Education_Level,Creditworthy
43,120000,12,2150,0.22,28,0,18,6,24000,0,94,Own,Married,Bachelor,1
29,48000,6,950,0.24,38,1,7,4,5000,0,90,Rent,Single,HighSchool,1
55,95000,30,1200,0.15,22,0,34,10,18000,0,99,Mortgage,Married,Master,1
38,60000,10,1300,0.26,45,2,14,5,15000,0,85,Rent,Single,Bachelor,1
27,37000,3,800,0.25,40,1,5,3,7000,0,92,Rent,Single,HighSchool,1
49,82000,18,950,0.14,20,0,22,8,16000,0,99,Mortgage,Married,Bachelor,1
33,50000,7,1100,0.26,42,1,8,5,10000,0,88,Rent,Single,Bachelor,1
42,68000,12,1000,0.20,30,0,14,6,12000,0,97,Own,Married,Master,1
24,32000,2,450,0.18,45,1,3,2,6000,0,88,Rent,Single,HighSchool,1
51,96000,22,1800,0.23,70,3,24,9,17000,0,95,Mortgage,Married,Bachelor,1
30,43000,5,1700,0.48,82,6,6,4,12000,1,62,Rent,Single,HighSchool,0
39,61000,10,1000,0.20,35,0,12,5,11000,0,94,Own,Married,Bachelor,1
45,78000,15,900,0.14,25,0,18,7,13000,0,98,Own,Married,Master,1
26,36000,3,700,0.23,38,1,4,3,8000,0,91,Rent,Single,HighSchool,1
35,48000,7,1800,0.45,78,4,8,5,14000,1,66,Rent,Divorced,Bachelor,0
28,54000,5,1200,0.27,50,1,9,5,10000,0,86,Own,Single,Master,1
31,59000,8,800,0.16,18,0,7,6,9000,0,99,Mortgage,Married,Bachelor,1
22,29000,1,950,0.39,68,3,2,2,4500,0,74,Rent,Single,HighSchool,0
37,52000,8,1100,0.25,55,2,10,5,12000,0,85,Rent,Married,Bachelor,1
46,72000,20,2000,0.33,60,4,20,10,20000,0,80,Mortgage,Married,Master,1
34,65000,9,1500,0.28,49,2,11,6,13000,0,89,Own,Single,Bachelor,1
53,90000,25,1000,0.13,18,0,28,9,18000,0,100,Mortgage,Married,Bachelor,1
29,40000,5,1400,0.42,67,5,6,4,9000,1,60,Rent,Single,HighSchool,0
41,66000,12,950,0.18,30,0,15,6,12500,0,97,Own,Married,Bachelor,1
36,58000,9,1100,0.23,45,1,10,5,12000,0,92,Rent,Single,Bachelor,1
24,31000,2,900,0.35,55,3,3,2,6500,0,80,Rent,Single,HighSchool,0
52,85000,20,1300,0.18,22,0,25,8,16000,0,98,Mortgage,Married,Master,1
38,62000,10,1000,0.19,30,0,12,6,11000,0,95,Own,Married,Master,1
27,45000,4,800,0.21,40,1,6,4,7000,0,94,Rent,Single,Bachelor,1
47,78000,18,900,0.14,25,0,22,8,15000,0,98,Mortgage,Married,Bachelor,1
32,53000,8,1000,0.23,35,0,9,5,11000,0,93,Own,Married,Master,1
25,38000,3,750,0.24,42,2,5,3,6000,0,89,Rent,Single,HighSchool,1
54,110000,28,1100,0.12,18,0,30,11,25000,0,100,Own,Married,Master,1
30,42000,5,1750,0.50,84,6,6,5,15000,1,58,Rent,Single,HighSchool,0
39,64000,11,1050,0.21,32,1,13,6,11500,0,94,Own,Married,Bachelor,1
45,75000,16,900,0.14,20,0,19,7,14000,0,98,Own,Married,Bachelor,1
33,47000,7,1700,0.43,70,4,8,5,13000,1,65,Rent,Divorced,Bachelor,0
26,35000,3,600,0.20,36,1,4,3,5000,0,91,Rent,Single,HighSchool,1
49,80000,17,900,0.13,22,0,21,8,14000,0,99,Mortgage,Married,Master,1
38,68000,12,950,0.20,30,0,14,6,13000,0,97,Mortgage,Married,Bachelor,1
28,55000,6,1200,0.26,46,1,7,5,10000,0,87,Own,Single,Master,1
43,67000,13,1200,0.21,50,2,15,7,14000,0,90,Rent,Divorced,Bachelor,0
31,46000,5,850,0.22,38,0,7,4,8000,0,94,Rent,Single,HighSchool,1
55,98000,26,1300,0.16,20,0,31,9,22000,0,99,Mortgage,Married,Master,1
36,61000,11,1100,0.22,40,1,13,6,11500,0,90,Own,Married,Bachelor,1
24,33000,2,950,0.35,68,3,3,2,5500,0,75,Rent,Single,HighSchool,0
40,70000,12,1000,0.17,28,0,14,6,13000,0,96,Own,Married,Bachelor,1
25,42000,4,800,0.23,40,1,5,3,6500,0,92,Rent,Single,HighSchool,1
48,81000,19,1000,0.15,22,0,23,8,17000,0,98,Mortgage,Married,Master,1
34,59000,9,1150,0.23,47,2,10,5,12500,0,88,Rent,Single,Bachelor,1
29,39000,4,1700,0.52,80,5,5,3,12000,1,55,Rent,Divorced,HighSchool,0
53,92000,25,1100,0.14,18,0,27,9,20000,0,100,Own,Married,Master,1
37,60000,10,1200,0.24,43,2,12,5,13000,0,86,Rent,Single,Bachelor,1
26,46000,3,600,0.16,35,0,5,3,6000,0,95,Rent,Single,HighSchool,1
49,85000,18,900,0.13,20,0,21,8,15000,0,99,Mortgage,Married,Master,1
35,52000,8,1800,0.50,78,4,9,5,14000,1,64,Rent,Divorced,Bachelor,0
32,54000,7,900,0.20,33,0,9,5,9000,0,96,Rent,Single,Bachelor,1
50,88000,22,1000,0.13,20,0,25,8,18000,0,99,Mortgage,Married,Master,1
28,36000,3,650,0.22,40,1,5,3,5500,0,92,Rent,Single,HighSchool,1
46,79000,17,950,0.14,20,0,22,7,15000,0,98,Mortgage,Married,Bachelor,1
39,65000,12,1050,0.21,35,1,13,6,11000,0,91,Own,Married,Master,1
24,30000,2,1000,0.40,70,3,3,2,4500,0,78,Rent,Single,HighSchool,0
54,98000,25,1200,0.15,22,0,28,9,20000,0,100,Mortgage,Married,Master,1
40,67000,13,1150,0.20,30,0,14,6,11500,0,93,Own,Married,Bachelor,1
31,52000,7,1300,0.30,50,2,9,5,13000,0,85,Rent,Divorced,Bachelor,0
